transaction_date,ticker,asset_description,type,amount,state,ptr_link,industry,sector,party,chamber,member,year,last_name,member_id
2021-09-27,BP,BP plc,purchase,10000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,Integrated oil Companies,Energy,Republican,House,Virginia Foxx,2021,foxx,F000450
2021-09-13,XOM,Exxon Mobil Corporation,purchase,10000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,Integrated oil Companies,Energy,Republican,House,Virginia Foxx,2021,foxx,F000450
2021-09-10,ILPT,Industrial Logistics Properties Trust - Common Shares of Beneficial Interest,purchase,35000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,Real Estate Investment Trusts,Real Estate,Republican,House,Virginia Foxx,2021,foxx,F000450
2021-09-28,PM,Phillip Morris International Inc,purchase,35000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,Farming/Seeds/Milling,Consumer Non-Durables,Republican,House,Virginia Foxx,2021,foxx,F000450
2021-09-17,BLK,BlackRock Inc,sale_partial,10000,CA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019570.pdf,Investment Bankers/Brokers/Service,Finance,Democrat,House,Alan S. Lowenthal,2021,lowenthal,L000579
2021-12-01,AXP,American Express Company,purchase,10000,VA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019930.pdf,Finance: Consumer Services,Finance,Democrat,House,Aston Donald McEachin,2021,mceachin,M001200
2021-11-18,AMD,Advanced Micro Devices Inc,sale_full,75000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,Semiconductors,Technology,Democrat,House,Thomas Suozzi,2021,suozzi,S001201
2021-11-18,AAPL,Apple Inc,sale_full,75000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,Computer Manufacturing,Technology,Democrat,House,Thomas Suozzi,2021,suozzi,S001201
2021-11-24,MSFT,Microsoft Corporation,purchase,75000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,Computer Software: Prepackaged Software,Technology,Democrat,House,Thomas Suozzi,2021,suozzi,S001201
2021-11-24,MS,Morgan Stanley,purchase,175000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,Investment Bankers/Brokers/Service,Finance,Democrat,House,Thomas Suozzi,2021,suozzi,S001201
2021-11-16,NEE,NextEra Energy Inc,sale_full,10000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,Electric Utilities: Central,Public Utilities,Democrat,House,Thomas Suozzi,2021,suozzi,S001201
2021-11-16,SLVM,Sylvamo Coproration,sale_full,1000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,Paper,Consumer Staples,Democrat,House,Thomas Suozzi,2021,suozzi,S001201
2021-11-18,CG,The Carlyle Group Inc,sale_full,75000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019917.pdf,Investment Managers,Finance,Democrat,House,Thomas Suozzi,2021,suozzi,S001201
2021-10-13,MO,Altria Group Inc,purchase,10000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,Farming/Seeds/Milling,Consumer Non-Durables,Republican,House,Virginia Foxx,2021,foxx,F000450
2021-10-07,DUKH,Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073,sale_full,75000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,,,Republican,House,Virginia Foxx,2021,foxx,F000450
2021-10-08,GSK,GlaxoSmithKline PLC,purchase,10000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,Major Pharmaceuticals,Health Care,Republican,House,Virginia Foxx,2021,foxx,F000450
2021-10-07,OLP,One Liberty Properties Inc,purchase,10000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,Real Estate Investment Trusts,Real Estate,Republican,House,Virginia Foxx,2021,foxx,F000450
2021-10-04,PPL,PPL Corporation,purchase,10000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,Electric Utilities: Central,Public Utilities,Republican,House,Virginia Foxx,2021,foxx,F000450
2021-10-25,SCU,Sculptor Capital Management Inc Class A,purchase,35000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,Investment Managers,Finance,Republican,House,Virginia Foxx,2021,foxx,F000450
2021-10-26,SCU,Sculptor Capital Management Inc Class A,purchase,10000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,Investment Managers,Finance,Republican,House,Virginia Foxx,2021,foxx,F000450
2021-10-08,VIASP,Via Renewables Inc - 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,purchase,10000,NC,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,Power Generation,Utilities,Republican,House,Virginia Foxx,2021,foxx,F000450
2022-09-30,COIN,Coinbase Global Inc,purchase,10000,LA,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021868.pdf,EDP Services,Technology,Republican,House,Garret Graves,2022,graves,G000577
2022-06-16,ACAD,ACADIA Pharmaceuticals Inc,sale_full,10000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021398.pdf,Biotechnology: Pharmaceutical Preparations,Health Care,Republican,House,Chris Jacobs,2022,jacobs,J000020
2022-06-21,AGNC,AGNC Investment Corp,purchase,10000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021398.pdf,Real Estate Investment Trusts,Real Estate,Republican,House,Chris Jacobs,2022,jacobs,J000020
2022-06-16,ALLK,Allakos Inc,purchase,10000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021398.pdf,Biotechnology: Pharmaceutical Preparations,Health Care,Republican,House,Chris Jacobs,2022,jacobs,J000020
2022-06-16,PLAN,Anaplan Inc,sale_full,10000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021398.pdf,Computer Software: Prepackaged Software,Technology,Republican,House,Chris Jacobs,2022,jacobs,J000020
2022-06-16,ASB,Associated Banc-Corp,purchase,10000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021398.pdf,Major Banks,Finance,Republican,House,Chris Jacobs,2022,jacobs,J000020
2022-06-16,BCEL,Atreca Inc - Class A,purchase,35000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021398.pdf,Biotechnology: Pharmaceutical Preparations,Health Care,Republican,House,Chris Jacobs,2022,jacobs,J000020
2022-06-16,AXSM,Axsome Therapeutics Inc,purchase,35000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021398.pdf,Biotechnology: Pharmaceutical Preparations,Health Care,Republican,House,Chris Jacobs,2022,jacobs,J000020
2022-06-16,SQ,Square Inc Class A Common Stock,sale_full,10000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021398.pdf,Computer Software: Prepackaged Software,Technology,Republican,House,Chris Jacobs,2022,jacobs,J000020
2022-06-21,BRMK,Broadmark Realty Capital Inc,purchase,10000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021398.pdf,Real Estate Investment Trusts,Real Estate,Republican,House,Chris Jacobs,2022,jacobs,J000020
2022-06-16,CPE,Callon Petroleum Company,sale_full,10000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021398.pdf,Oil & Gas Production,Energy,Republican,House,Chris Jacobs,2022,jacobs,J000020
2022-06-21,SAVA,Cassava Sciences Inc,purchase,35000,NY,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021398.pdf,Biotechnology: Pharmaceutical Preparations,Health Care,Republican,House,Chris Jacobs,2022,jacobs,J000020
