state,st,firstname,lastname,bioguide,year,start,end,district_number,congress_number,govtrack,wikipedia,wikidata,google_entity_id,house_history,icpsr,com_agriculture_102,com_appropriations_104,com_mil_natsec_106,com_finserv_113,com_budget_115,com_edu_work_124,com_energy_commerce_128,com_intl_rel_134,com_gov_ops_138,com_house_admin_142,com_judiciary_156,com_merch_marine_160,com_nat_resource_164,com_mail_civserv_168,com_infrastructure_173,com_rules_176,com_science_182,com_small_biz_184,com_off_standards_186,com_va_192,com_ways_mean_196,com_intel_242,com_home_sec_251,com_energy_252,com_voting_2007_253,com_benghazi_299,com_library_500,com_printing_501,com_taxation_503,com_economic_507,com_def_reduct_511,com_congress_org_522,com_house_leadership_661
Alaska,AK,Mary,Peltola,P000619,2023,2023-01-03,2025-01-03,1,118,456870,Mary Peltola,Q13562231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,AK,Mary,Peltola,P000619,2022,2022-09-13,2023-01-03,1,117,456870,Mary Peltola,Q13562231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,AK,Don,Young,Y000033,2021,2021-01-03,2022-03-18,1,117,400440,Don Young,Q1239590,kg:/m/024p1k,21071,14066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,AK,Don,Young,Y000033,2020,2019-01-03,2021-01-03,1,116,400440,Don Young,Q1239590,kg:/m/024p1k,21071,14066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,AK,Don,Young,Y000033,2019,2019-01-03,2021-01-03,1,116,400440,Don Young,Q1239590,kg:/m/024p1k,21071,14066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,AK,Don,Young,Y000033,2018,2017-01-03,2019-01-03,1,115,400440,Don Young,Q1239590,kg:/m/024p1k,21071,14066,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,Don,Young,Y000033,2017,2017-01-03,2019-01-03,1,115,400440,Don Young,Q1239590,kg:/m/024p1k,21071,14066,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,Don,Young,Y000033,2016,2015-01-06,2017-01-03,1,114,400440,Don Young,Q1239590,kg:/m/024p1k,21071,14066,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,Don,Young,Y000033,2015,2015-01-06,2017-01-03,1,114,400440,Don Young,Q1239590,kg:/m/024p1k,21071,14066,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,Don,Young,Y000033,2014,2013-01-03,2015-01-03,1,113,400440,Don Young,Q1239590,kg:/m/024p1k,21071,14066,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
