Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"Subcommittee in Financial Services and General Government. Fiscal Year 2022 Answers to Questions Submitted for the Record",https://www.congress.gov/event/117th-congress/house-event/LC67385/text,117th,"House of Representatives",2022-09-27T04:00:00Z,"House Appropriations"
"FY 2023 Transportation, and Housing and Urban Development, and Related Agencies; Labor, Health and Human Services, Education, and Related Agencies Appropriations Bills and Revised Report on the Subcommittee Allocations",https://www.congress.gov/event/117th-congress/house-event/114968,117th,"House of Representatives",2022-06-30T13:00:00Z,"House Appropriations"
"FY 2023 State, Foreign Operations, and Related Programs and Interior, Environment, and Related Agencies Appropriations Bills",https://www.congress.gov/event/117th-congress/house-event/114967,117th,"House of Representatives",2022-06-29T14:00:00Z,"House Appropriations"
"FY 2023 Energy and Water Development, and Related Agencies and Commerce, Justice, Science, and Related Agencies Appropriations Bills",https://www.congress.gov/event/117th-congress/house-event/114966,117th,"House of Representatives",2022-06-28T14:00:00Z,"House Appropriations"
"FY 2023 Homeland Security and Financial Services and General Government Appropriations Bills",https://www.congress.gov/event/117th-congress/house-event/114951,117th,"House of Representatives",2022-06-24T13:00:00Z,"House Appropriations"
"FY 2023 Labor, Health and Human Services, Education, and Related Agencies Bill",https://www.congress.gov/event/117th-congress/house-event/114920,117th,"House of Representatives",2022-06-23T21:30:00Z,"House Appropriations"
"Fiscal Year 2023 Transportation, Housing and Urban Development and Related Agencies Subcommittee Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/114921,117th,"House of Representatives",2022-06-23T20:00:00Z,"House Appropriations"
"FY 2023 Agriculture, Rural Development, Food and Drug Administration, and Related Agencies, and Military Construction, Veterans Affairs, and Related Agencies Appropriations Bills",https://www.congress.gov/event/117th-congress/house-event/114947,117th,"House of Representatives",2022-06-23T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Commerce, Justice, Science, and Related Agencies Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/114926,117th,"House of Representatives",2022-06-22T23:00:00Z,"House Appropriations"
"FY 2023 Department of State, Foreign Operations, and Related Programs Subcommittee Bill",https://www.congress.gov/event/117th-congress/house-event/114943,117th,"House of Representatives",2022-06-22T21:00:00Z,"House Appropriations"
"FY 2023 Report on the Suballocation of Budget 
Allocations for FY 2023, Defense, and Legislative Branch Appropriations Bills",https://www.congress.gov/event/117th-congress/house-event/114945,117th,"House of Representatives",2022-06-22T14:00:00Z,"House Appropriations"
"FY 2023 Energy and Water Development, and Related Agencies Subcommittee Bill",https://www.congress.gov/event/117th-congress/house-event/114915,117th,"House of Representatives",2022-06-21T21:30:00Z,"House Appropriations"
"Fiscal Year 2023 Interior, Environment, and Related Agencies Bill",https://www.congress.gov/event/117th-congress/house-event/114914,117th,"House of Representatives",2022-06-21T20:00:00Z,"House Appropriations"
"Fiscal Year 2023 Financial Services and General Government Subcommittee Bill",https://www.congress.gov/event/117th-congress/house-event/114911,117th,"House of Representatives",2022-06-16T14:30:00Z,"House Appropriations"
"Fiscal Year 2023 Homeland Security Subcommittee Bill",https://www.congress.gov/event/117th-congress/house-event/114912,117th,"House of Representatives",2022-06-16T13:00:00Z,"House Appropriations"
"Fiscal Year 2023 Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Bill",https://www.congress.gov/event/117th-congress/house-event/114897,117th,"House of Representatives",2022-06-15T18:00:00Z,"House Appropriations"
"FY 2023 Military Construction, Veterans Affairs and Related Agencies Subcommittee Bill",https://www.congress.gov/event/117th-congress/house-event/114913,117th,"House of Representatives",2022-06-15T17:00:00Z,"House Appropriations"
"Fiscal Year 2023 Legislative Branch Bill",https://www.congress.gov/event/117th-congress/house-event/114908,117th,"House of Representatives",2022-06-15T15:00:00Z,"House Appropriations"
"Fiscal Year 2023 Defense Subcommittee Appropriations Bill (CLOSED)",https://www.congress.gov/event/117th-congress/house-event/114901,117th,"House of Representatives",2022-06-15T13:30:00Z,"House Appropriations"
"Fiscal year 2023 Budget Request for the United Nations (UN)",https://www.congress.gov/event/117th-congress/house-event/114868,117th,"House of Representatives",2022-06-08T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Arts and Humanities",https://www.congress.gov/event/117th-congress/house-event/114723,117th,"House of Representatives",2022-06-08T13:30:00Z,"House Appropriations"
"Manufactured Housing: Supporting America’s Largest Unsubsidized Affordable Housing Stock",https://www.congress.gov/event/117th-congress/house-event/114841,117th,"House of Representatives",2022-05-26T17:30:00Z,"House Appropriations"
"Defense Environmental Restoration",https://www.congress.gov/event/117th-congress/house-event/114803,117th,"House of Representatives",2022-05-26T16:00:00Z,"House Appropriations"
"Fiscal Year 2023 Public Witness Day",https://www.congress.gov/event/117th-congress/house-event/114830,117th,"House of Representatives",2022-05-26T14:00:00Z,"House Appropriations"
"FY23 Member Day for the Subcommittee on Agriculture",https://www.congress.gov/event/117th-congress/house-event/114789,117th,"House of Representatives",2022-05-25T20:30:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the United States Secret Service",https://www.congress.gov/event/117th-congress/house-event/114836,117th,"House of Representatives",2022-05-25T18:00:00Z,"House Appropriations"
"The Infant Formula Crisis",https://www.congress.gov/event/117th-congress/house-event/114846,117th,"House of Representatives",2022-05-25T18:00:00Z,"House Appropriations"
"Defense Health and Medical Readiness",https://www.congress.gov/event/117th-congress/house-event/114802,117th,"House of Representatives",2022-05-25T16:00:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Federal Emergency Management Agency",https://www.congress.gov/event/117th-congress/house-event/114835,117th,"House of Representatives",2022-05-25T15:00:00Z,"House Appropriations"
"Fiscal Year 2023 Member Day Hearing",https://www.congress.gov/event/117th-congress/house-event/114825,117th,"House of Representatives",2022-05-25T15:00:00Z,"House Appropriations"
"Fiscal Year 2023 Member Day",https://www.congress.gov/event/117th-congress/house-event/114837,117th,"House of Representatives",2022-05-25T14:00:00Z,"House Appropriations"
"Tackling Teacher Shortages",https://www.congress.gov/event/117th-congress/house-event/114831,117th,"House of Representatives",2022-05-25T14:00:00Z,"House Appropriations"
"Fiscal Year 2023 Member Day",https://www.congress.gov/event/117th-congress/house-event/114834,117th,"House of Representatives",2022-05-24T18:00:00Z,"House Appropriations"
"National Guard and Reserve",https://www.congress.gov/event/117th-congress/house-event/114801,117th,"House of Representatives",2022-05-24T16:00:00Z,"House Appropriations"
"Fiscal Year 2023 Member Day",https://www.congress.gov/event/117th-congress/house-event/114829,117th,"House of Representatives",2022-05-24T14:30:00Z,"House Appropriations"
"Fiscal Year 2023 Budget Request for the Food and Drug Administration",https://www.congress.gov/event/117th-congress/house-event/114643,117th,"House of Representatives",2022-05-19T14:00:00Z,"House Appropriations"
