Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"H. Res. 1476",https://www.congress.gov/event/117th-congress/house-event/115239,117th,"House of Representatives",2022-12-14T15:30:00Z,"House Energy and Commerce"
"24 bills",https://www.congress.gov/event/117th-congress/house-event/115158,117th,"House of Representatives",2022-09-21T14:15:00Z,"House Energy and Commerce"
"Five Health Bills",https://www.congress.gov/event/117th-congress/house-event/115124,117th,"House of Representatives",2022-09-14T14:30:00Z,"House Energy and Commerce"
"Six Bills",https://www.congress.gov/event/117th-congress/house-event/115041,117th,"House of Representatives",2022-07-20T13:45:00Z,"House Energy and Commerce"
"“Roe Reversal: The Impacts of Taking Away the Constitutional Right to an Abortion”",https://www.congress.gov/event/117th-congress/house-event/114995,117th,"House of Representatives",2022-07-19T14:30:00Z,"House Energy and Commerce"
"Five Bills",https://www.congress.gov/event/117th-congress/house-event/115004,117th,"House of Representatives",2022-07-13T15:00:00Z,"House Energy and Commerce"
"“No Time to Waste: Solutions for America’s Broken Recycling System”",https://www.congress.gov/event/117th-congress/house-event/114965,117th,"House of Representatives",2022-06-30T15:30:00Z,"House Energy and Commerce"
"“Investing in Public Health: Legislation to Support Patients, Workers, and Research”",https://www.congress.gov/event/117th-congress/house-event/114963,117th,"House of Representatives",2022-06-29T15:00:00Z,"House Energy and Commerce"
"“Protecting America’s Seniors: Oversight of Private Sector Medicare Advantage Plans”",https://www.congress.gov/event/117th-congress/house-event/114959,117th,"House of Representatives",2022-06-28T15:00:00Z,"House Energy and Commerce"
"Eight Bills",https://www.congress.gov/event/117th-congress/house-event/114958,117th,"House of Representatives",2022-06-23T14:30:00Z,"House Energy and Commerce"
"“Legislative Hearing to Strengthen Energy Infrastructure, Efficiency, and Financing”",https://www.congress.gov/event/117th-congress/house-event/114932,117th,"House of Representatives",2022-06-22T14:30:00Z,"House Energy and Commerce"
"Seven Bills",https://www.congress.gov/event/117th-congress/house-event/114919,117th,"House of Representatives",2022-06-15T14:15:00Z,"House Energy and Commerce"
"""Protecting America’s Consumers: Bipartisan Legislation to Strengthen Data Privacy and Security""",https://www.congress.gov/event/117th-congress/house-event/114880,117th,"House of Representatives",2022-06-14T14:30:00Z,"House Energy and Commerce"
