Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"""FITARA 15.0",https://www.congress.gov/event/117th-congress/house-event/115245,117th,"House of Representatives",2022-12-15T16:00:00Z,"House Oversight and Reform"
"“Preparing for and Preventing the Next Public Health Emergency:  Lessons Learned from the Coronavirus Crisis”",https://www.congress.gov/event/117th-congress/house-event/115248,117th,"House of Representatives",2022-12-14T20:30:00Z,"House Oversight and Reform"
"“Preparing for and Preventing the Next Public Health Emergency: Lessons Learned from the Coronavirus Crisis”",https://www.congress.gov/event/117th-congress/house-event/115237,117th,"House of Representatives",2022-12-14T19:00:00Z,"House Oversight and Reform"
"The Rise of Anti-LGBTQI+ Extremism and Violence in the United States",https://www.congress.gov/event/117th-congress/house-event/115243,117th,"House of Representatives",2022-12-14T15:00:00Z,"House Oversight and Reform"
"Confronting White Supremacy (Part VII): The Evolution of Anti-Democratic Extremist Groups and the Ongoing Threat to Democracy",https://www.congress.gov/event/117th-congress/house-event/115236,117th,"House of Representatives",2022-12-13T15:00:00Z,"House Oversight and Reform"
"1.	H. Res. 1479, “Of inquiry requesting the President transmit certain documents in his possession to the House of Representatives relating to the surveillance or monitoring of prog-gun, pro-life, or conservative groups under the Internet Covert Operations Program operated by the United States Postal Inspection Service”; and

2.	Several postal naming measures.",https://www.congress.gov/event/117th-congress/house-event/115226,117th,"House of Representatives",2022-12-06T18:00:00Z,"House Oversight and Reform"
"1.  H.R. 1283, the CONTRACT Act of 2021;

2.  H.R. 1307, the Vote by Mail Tracking Act;

3.  H. Res. 1412, “Of inquiry directing the Secretary of the Treasury to transmit certain documents to the House of Representatives relating to the projected inflationary impact of the implementation of the Infrastructure Investment and Jobs Act, the Build Back Better Act, and the Infrastructure and Jobs Act in conjunction with the Build Back Better Act”; and

4.  Several postal naming measures.",https://www.congress.gov/event/117th-congress/house-event/115201,117th,"House of Representatives",2022-11-17T15:00:00Z,"House Oversight and Reform"
"“The Holiday Rush: Is the Postal Service Ready?”",https://www.congress.gov/event/117th-congress/house-event/115186,117th,"House of Representatives",2022-11-16T19:00:00Z,"House Oversight and Reform"
"""JROTC:  Protecting Cadets from Sexual Abuse and Instructor Misconduct”",https://www.congress.gov/event/117th-congress/house-event/115190,117th,"House of Representatives",2022-11-16T15:00:00Z,"House Oversight and Reform"
"Developments in State Cannabis Laws and Bipartisan Cannabis Reforms at the Federal Level",https://www.congress.gov/event/117th-congress/house-event/115185,117th,"House of Representatives",2022-11-15T15:00:00Z,"House Oversight and Reform"
"Examining the Harm to Patients from Abortion Restrictions and the Threat of a National Abortion Ban",https://www.congress.gov/event/117th-congress/house-event/115171,117th,"House of Representatives",2022-09-29T14:00:00Z,"House Oversight and Reform"
"""Power and Profiteering:  How Certain Industries Hiked Prices, Fleeced Consumers, and Drove Inflation""",https://www.congress.gov/event/117th-congress/house-event/115145,117th,"House of Representatives",2022-09-22T13:00:00Z,"House Oversight and Reform"
"Hearing on “Examining Long-Term Care in America: The Impact of the Coronavirus in Nursing Homes”",https://www.congress.gov/event/117th-congress/house-event/115148,117th,"House of Representatives",2022-09-21T18:00:00Z,"House Oversight and Reform"
"""Putin’s Proxies:  Examining Russia’s Use of Private Military Companies""",https://www.congress.gov/event/117th-congress/house-event/115113,117th,"House of Representatives",2022-09-21T13:30:00Z,"House Oversight and Reform"
"The Full Committee to consider the following:

1. S. 1941, the Metropolitan Areas Protection and Standardization (MAPS) Act;

2. S. 3510, the Disaster Resiliency Planning Act;

3. H.R. 8466, the Chai Suthammanont Healthy Federal Workplaces Act of 2022;

4. H.R. 8665, the National Archives and Records Administration Modernization Act;

5. H. Res. 1243, Of inquiry requesting the President transmit certain documents in his possession to the House of Representatives relating to the Biden family’s international business schemes and related information; 

6. H.R. _____, the District of Columbia Home Rule Expansion Act; and

7. Several postal naming measures.",https://www.congress.gov/event/117th-congress/house-event/115146,117th,"House of Representatives",2022-09-20T14:00:00Z,"House Oversight and Reform"
"“Project Federal Information Technology:  Make IT Work”",https://www.congress.gov/event/117th-congress/house-event/115118,117th,"House of Representatives",2022-09-16T13:00:00Z,"House Oversight and Reform"
"""Fueling the Climate Crisis: 
 Examining Big Oil’s Prices, Profits, and Pledges""",https://www.congress.gov/event/117th-congress/house-event/115114,117th,"House of Representatives",2022-09-15T14:00:00Z,"House Oversight and Reform"
"Free Speech Under Attack (Part III):  The Legal Assault on Environmental Activists and the First Amendment",https://www.congress.gov/event/117th-congress/house-event/115106,117th,"House of Representatives",2022-09-14T14:00:00Z,"House Oversight and Reform"
"FREE SPEECH UNDER ATTACK (PART III): THE LEGAL ASSAULT ON ENVIRONMENTAL ACTIVISTS AND THE FIRST AMENDMENT",https://www.congress.gov/event/117th-congress/house-event/LC73399/text,117th,"House of Representatives",2022-09-14T04:00:00Z,"House Oversight and Reform"
"Delivering for Pennsylvania:  Examining Postal Service Delivery and Operations from the Cradle of Liberty",https://www.congress.gov/event/117th-congress/house-event/115085,117th,"House of Representatives",2022-09-07T15:00:00Z,"House Oversight and Reform"
"Deposition of Bruce Allen",https://www.congress.gov/event/117th-congress/house-event/115087,117th,"House of Representatives",2022-09-06T15:30:00Z,"House Oversight and Reform"
"“Effective Environmental Enforcement:  Tools and Strategies to Protect Vulnerable Communities”",https://www.congress.gov/event/117th-congress/house-event/115083,117th,"House of Representatives",2022-08-25T14:00:00Z,"House Oversight and Reform"
