Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"Consideration of:

• Documents protected under Internal Revenue Code section 6103.",https://www.congress.gov/event/117th-congress/house-event/115254,117th,"House of Representatives",2022-12-20T20:00:00Z,"House Ways and Means"
"Promoting Sustainable Environmental Practices Through Trade Policy",https://www.congress.gov/event/117th-congress/house-event/115238,117th,"House of Representatives",2022-12-14T14:30:00Z,"House Ways and Means"
"•	H.R. 8876,  The Jackie Walorski Maternal and Child Home Visiting Reauthorization Act of 2022.

•	Committee Print 117-1. Improvements to Medicare Inpatient and Outpatient Mental Health Services. 

•	Committee Print 117-2. Improvements to the Medicare Program Related to Physician Services and Education. 

•	Committee Print 117-3. Requiring Coverage of Forensic Medical Exams with No Cost Sharing.

•	Committee Print 117-4. Improved Information in Provider Directories, Plan Definitions, and Crisis Services for Private Insurance Plans. 

•	Committee Print 117-5. Improved Information for Network Coverage and Plan Documents in Private Insurance Plans",https://www.congress.gov/event/117th-congress/house-event/115161,117th,"House of Representatives",2022-09-21T14:00:00Z,"House Ways and Means"
"Markup of:

•	H.R. 82, the “Social Security Fairness Act of 2021”

•	H. Res. 1269, Of inquiry directing the Secretary of the Treasury to provide certain documents in the Secretary's possession to the House of Representatives relating to the impact of the OECD Pillar One agreement on the United States Treasury. 

•	H. Res. 1285, Requesting the President to transmit certain information to the House of Representatives relating to a waiver of intellectual property commitments under the World Trade Organization Agreement on Trade-Related Aspects of Intellectual Property Rights. 

•	H. Res. 1262, Of inquiry directing the Secretary of Health and Human Services to provide to the House of Representatives certain documents in the Secretary's possession regarding the reinterpretation of sections 36B(c)(2)(C)(i)(II) and 5000A(e)(1)(B) of the Internal Revenue Code of 1986, commonly known as the ""fix to the family glitch”.

•	H. Res. 1283, Of inquiry directing the Secretary of the Treasury to provide to the House of Representatives a copy of the Internal Revenue Service Small Business/Self Employed Division Decision Memorandum regarding the decision to destroy approximately 30,000,000 paper information returns around the time of March 2021, and any other memorandum related to the decision to destroy those information returns. 

•	H. Res. 1288, Of inquiry directing the Secretary of Labor to provide to the House of Representatives certain documents in the Secretary's possession relating to Unemployment Insurance fraud during the COVID-19 pandemic.",https://www.congress.gov/event/117th-congress/house-event/115159,117th,"House of Representatives",2022-09-20T14:00:00Z,"House Ways and Means"
"Preparing America’s Health Care Infrastructure for the Climate Crisis",https://www.congress.gov/event/117th-congress/house-event/115130,117th,"House of Representatives",2022-09-15T15:00:00Z,"House Ways and Means"
"The Future of U.S.-Taiwan Trade",https://www.congress.gov/event/117th-congress/house-event/115098,117th,"House of Representatives",2022-09-14T15:00:00Z,"House Ways and Means"
"H.R.8487, “Improving Seniors Timely Access to Care Act of 2022”",https://www.congress.gov/event/117th-congress/house-event/115077,117th,"House of Representatives",2022-07-27T15:00:00Z,"House Ways and Means"
"Nowhere to Live: Profits, Disinvestment, and the American Housing Crisis",https://www.congress.gov/event/117th-congress/house-event/114982,117th,"House of Representatives",2022-07-13T14:00:00Z,"House Ways and Means"
"The Burnout Epidemic and What Working Women Need for A Stronger Economy",https://www.congress.gov/event/117th-congress/house-event/114894,117th,"House of Representatives",2022-06-15T14:00:00Z,"House Ways and Means"
"Proposed Fiscal Year 2023 Budget with Treasury Secretary Janet Yellen",https://www.congress.gov/event/117th-congress/house-event/114886,117th,"House of Representatives",2022-06-08T14:00:00Z,"House Ways and Means"
"Taxpayer Fairness Across the IRS",https://www.congress.gov/event/117th-congress/house-event/114783,117th,"House of Representatives",2022-05-18T14:00:00Z,"House Ways and Means"
