Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR FISCAL YEAR 2022",https://www.congress.gov/event/117th-congress/senate-event/LC68920/text,117th,Senate,2022-12-06T05:00:00Z,"Senate Appropriations"
"DEPARTMENT OF HOMELAND SECURITY APPROPRIATIONS FOR FISCAL YEAR 2022",https://www.congress.gov/event/117th-congress/senate-event/LC69402/text,117th,Senate,2022-11-15T05:00:00Z,"Senate Appropriations"
"AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2022",https://www.congress.gov/event/117th-congress/senate-event/LC69360/text,117th,Senate,2022-11-08T05:00:00Z,"Senate Appropriations"
"DEPARTMENT OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2022",https://www.congress.gov/event/117th-congress/senate-event/LC69152/text,117th,Senate,2022-10-13T04:00:00Z,"Senate Appropriations"
"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/117th-congress/senate-event/LC66777/text,117th,Senate,2022-09-27T04:00:00Z,"Senate Appropriations"
"DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2022",https://www.congress.gov/event/117th-congress/senate-event/LC68213/text,117th,Senate,2022-09-27T04:00:00Z,"Senate Appropriations"
"DEPARTMENT OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2020",https://www.congress.gov/event/117th-congress/senate-event/LC65823/text,117th,Senate,2022-09-27T04:00:00Z,"Senate Appropriations"
"DEPARTMENT OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2021",https://www.congress.gov/event/117th-congress/senate-event/LC67054/text,117th,Senate,2022-09-27T04:00:00Z,"Senate Appropriations"
"NONDEPARTMENTAL WITNESSES",https://www.congress.gov/event/117th-congress/senate-event/LC66974/text,117th,Senate,2022-09-27T04:00:00Z,"Senate Appropriations"
"NONDEPARTMENTAL WITNESSES",https://www.congress.gov/event/117th-congress/senate-event/LC67198/text,117th,Senate,2022-09-27T04:00:00Z,"Senate Appropriations"
"S.Hrg. 117-675 — VA'S ELECTRONIC HEALTH RECORD MODERNIZATION: AN UPDATE ON ROLLOUT, COST, AND SCHEDULE",https://www.congress.gov/event/117th-congress/senate-event/333136,117th,Senate,2022-09-21T14:00:00Z,"Senate Appropriations"
"S.Hrg. 117-630 — FOOD SAFETY AND THE FOOD AND DRUG ADMINISTRATION",https://www.congress.gov/event/117th-congress/senate-event/332871,117th,Senate,2022-07-20T14:00:00Z,"Senate Appropriations"
