Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"S.Hrg. 117-761 — THE CONSUMER FINANCIAL PROTECTION BUREAU'S SEMIANNUAL REPORT TO CONGRESS",https://www.congress.gov/event/117th-congress/senate-event/333466,117th,Senate,2022-12-15T15:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"Hearings to examine why the FTX bubble burst and the harm to consumers, including S.4857, to amend the Securities Exchange Act of 1934 to require companies to file public reports after meeting certain quantitative thresholds.",https://www.congress.gov/event/117th-congress/senate-event/333462,117th,Senate,2022-12-14T15:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-757 — CRYPTO CRASH: WHY THE FTX BUBBLE BURST AND THE HARM TO CONSUMERS",https://www.congress.gov/event/117th-congress/senate-event/LC70831/text,117th,Senate,2022-12-14T05:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-756 — EXAMINING HOW CAPITAL MARKETS SERVE DIVERSE ENTREPRENEURS AND INVESTORS",https://www.congress.gov/event/117th-congress/senate-event/333447,117th,Senate,2022-12-13T19:30:00Z,"Senate Banking, Housing, and Urban Affairs"
"Business meeting to consider the nominations of Martin J. Gruenberg, of Maryland, to be a Member and Chairperson, Travis Hill, of Maryland, to be a Member and Vice Chairperson, and Jonathan McKernan, of Tennessee, to be a Member, all of the Board of Directors of the Federal Deposit Insurance Corporation, and Kimberly Ann McClain, of Maryland, to be an Assistant Secretary of Housing and Urban Development.",https://www.congress.gov/event/117th-congress/senate-event/333461,117th,Senate,2022-12-13T19:15:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-755 — FAIRNESS IN FINANCIAL SERVICES: RACISM AND DISCRIMINATION IN BANKING",https://www.congress.gov/event/117th-congress/senate-event/333388,117th,Senate,2022-12-01T15:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-736 — NOMINATIONS OF MARTIN GRUENBERG, TRAVIS HILL, JONATHAN MCKERNAN, AND KIMBERLY ANN MCCLAIN",https://www.congress.gov/event/117th-congress/senate-event/333386,117th,Senate,2022-11-30T15:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-753 — OVERSIGHT OF FINANCIAL REGULATORS: A STRONG BANKING AND CREDIT UNION SYSTEM FOR MAIN STREET",https://www.congress.gov/event/117th-congress/senate-event/333322,117th,Senate,2022-11-15T15:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-860 — ECONOMIC IMPACTS OF INADEQUATE TRANSIT MAINTENANCE AND OVERSIGHT",https://www.congress.gov/event/117th-congress/senate-event/LC72781/text,117th,Senate,2022-10-14T04:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-752 — EXAMINING OUTBOUND INVESTMENT",https://www.congress.gov/event/117th-congress/senate-event/333182,117th,Senate,2022-09-29T14:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-751 — ANNUAL OVERSIGHT OF THE NATION'S LARGEST BANKS",https://www.congress.gov/event/117th-congress/senate-event/333143,117th,Senate,2022-09-22T13:30:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-750 — EXAMINING THE U.S. DEPARTMENT OF AGRICULTURE'S RURAL HOUSING SERVICE: STAKEHOLDER PERSPECTIVES",https://www.congress.gov/event/117th-congress/senate-event/333128,117th,Senate,2022-09-20T18:30:00Z,"Senate Banking, Housing, and Urban Affairs"
"Hearings to examine tightening the screws on Russia, focusing on smart sanctions, economic statecraft and next steps, including S.4283, to authorize the confiscation of assets of the Russian Federation and the use of such assets to offset costs to the United States of assistance to Ukraine, S.3867, to impose sanctions with respect to the use of cryptocurrency to facilitate transactions by Russian persons subject to sanctions.",https://www.congress.gov/event/117th-congress/senate-event/333127,117th,Senate,2022-09-20T13:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-748 — OVERSIGHT OF THE U.S. SECURITIES AND EXCHANGE COMMISSION",https://www.congress.gov/event/117th-congress/senate-event/333116,117th,Senate,2022-09-15T14:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-743 — NEW CONSUMER FINANCIAL PRODUCTS AND THE IMPACTS TO WORKERS",https://www.congress.gov/event/117th-congress/senate-event/333102,117th,Senate,2022-09-13T14:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-747 — CURRENT ISSUES IN INSURANCE",https://www.congress.gov/event/117th-congress/senate-event/333085,117th,Senate,2022-09-08T14:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"To receive a briefing on the experience of workers and consumers with newer consumer financial products and the impact on the dignity of work.",https://www.congress.gov/event/117th-congress/senate-event/333100,117th,Senate,2022-09-07T14:30:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-741 — BORROWED TIME: THE ECONOMIC COSTS OF CLIMATE CHANGE",https://www.congress.gov/event/117th-congress/senate-event/332983,117th,Senate,2022-08-04T14:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-742 — ""THE RENT EATS FIRST"": HOW RENTERS AND COMMUNITIES ARE IMPACTED BY TODAY'S HOUSING MARKET",https://www.congress.gov/event/117th-congress/senate-event/332965,117th,Senate,2022-08-02T14:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"Hearings to examine protecting investors and savers, focusing on understanding scams and risks in crypto and securities markets, including S.4356, to provide for responsible financial innovation and to bring digital assets within the regulatory perimeter, S.3529, to amend the Investor Protection and Securities Reform Act of 2010 to provide grants to States for enhanced protection of senior investors and senior policyholders, S.4608, to amend the Internal Revenue Code of 1986 to exclude from gross income de minimis gains from certain sales or exchanges of virtual currency, S.3990, to amend the Securities Exchange Act of 1934 to prohibit certain securities trading and related communications by those who possess material, nonpublic information, and S.2147, to enhance civil penalties under the Federal securities laws.",https://www.congress.gov/event/117th-congress/senate-event/332961,117th,Senate,2022-07-28T14:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-859 — PROTECTING INVESTORS AND SAVERS: UNDERSTANDING SCAMS AND RISKS IN CRYPTO AND SECURITIES MARKETS",https://www.congress.gov/event/117th-congress/senate-event/LC72787/text,117th,Senate,2022-07-28T04:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"Hearings to examine the state of housing in America, including S.1991, to authorize a new type of housing choice voucher to help achieve the goals of ending homelessness among families with children, increasing housing opportunities, and improving life outcomes of poor children, S.2361, to reauthorize the budget-neutral demonstration program for energy and water conservation at multifamily residential units, to establish a green retrofit program, S.2616, to create livable communities through coordinated public investment and streamlined requirements, S.3188, to establish a manufactured housing community improvement grant program, and S.2300, to direct the Secretary of Housing and Urban Development to establish a grant program to help revitalize certain localities.",https://www.congress.gov/event/117th-congress/senate-event/332903,117th,Senate,2022-07-21T14:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-827 — PRICED OUT: THE STATE OF HOUSING IN AMERICA",https://www.congress.gov/event/117th-congress/senate-event/LC72542/text,117th,Senate,2022-07-21T04:00:00Z,"Senate Banking, Housing, and Urban Affairs"
"Hearings to examine opportunities and challenges in addressing homelessness, including S.2182, to require the Secretary of Housing and Urban Development to establish a national evictions database.",https://www.congress.gov/event/117th-congress/senate-event/332866,117th,Senate,2022-07-19T18:30:00Z,"Senate Banking, Housing, and Urban Affairs"
"S.Hrg. 117-869 — OPPORTUNITIES AND CHALLENGES IN ADDRESSING HOMELESSNESS",https://www.congress.gov/event/117th-congress/senate-event/LC73111/text,117th,Senate,2022-07-19T04:00:00Z,"Senate Banking, Housing, and Urban Affairs"
