Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"Hearings to examine opportunities and challenges for trade policy in the digital economy.",https://www.congress.gov/event/117th-congress/senate-event/333390,117th,Senate,2022-11-30T20:00:00Z,"Senate Finance"
"S.Hrg. 117-879 — OPPORTUNITIES AND CHALLENGES FOR TRADE POLICY IN THE DIGITAL ECONOMY",https://www.congress.gov/event/117th-congress/senate-event/LC73038/text,117th,Senate,2022-11-30T05:00:00Z,"Senate Finance"
"Business meeting to consider the nomination of Douglas J. McKalip, of the District of Columbia, to be Chief Agricultural Negotiator, Office of the United States Trade Representative, with the rank of Ambassador.",https://www.congress.gov/event/117th-congress/senate-event/333000,117th,Senate,2022-09-07T14:00:00Z,"Senate Finance"
"Hearings to examine organizational failures of the U.S.'s organ procurement and transplantation network.",https://www.congress.gov/event/117th-congress/senate-event/332969,117th,Senate,2022-08-03T18:30:00Z,"Senate Finance"
"S.Hrg. 117-878 — A SYSTEM IN NEED OF REPAIR: ADDRESSING ORGANIZATIONAL FAILURES OF THE U.S.'S ORGAN PROCUREMENT AND TRANSPLANTATION NETWORK",https://www.congress.gov/event/117th-congress/senate-event/LC72989/text,117th,Senate,2022-08-03T04:00:00Z,"Senate Finance"
"Business meeting to consider the nominations of Jay Curtis Shambaugh, of Maryland, to be an Under Secretary of the Treasury, and Rebecca Lee Haffajee, of Massachusetts, to be an Assistant Secretary of Health and Human Services; to be immediately followed by a hearing to examine the nomination of Douglas J. McKalip, of the District of Columbia, to be Chief Agricultural Negotiator, Office of the United States Trade Representative, with the rank of Ambassador.",https://www.congress.gov/event/117th-congress/senate-event/332943,117th,Senate,2022-07-28T14:00:00Z,"Senate Finance"
"S.Hrg. 117-542 — NOMINATION OF DOUGLAS J. McKALIP, TO BE CHIEF AGRICULTURAL NEGOTIATOR, UNITED STATES TRADE REPRESENTATIVE, EXECUTIVE OFFICE OF THE PRESIDENT",https://www.congress.gov/event/117th-congress/senate-event/LC72850/text,117th,Senate,2022-07-28T04:00:00Z,"Senate Finance"
"Hearings to examine the role of tax incentives in affordable housing.",https://www.congress.gov/event/117th-congress/senate-event/332874,117th,Senate,2022-07-20T14:00:00Z,"Senate Finance"
"S.Hrg. 117-877 — THE ROLE OF TAX INCENTIVES IN AFFORDABLE HOUSING",https://www.congress.gov/event/117th-congress/senate-event/LC72995/text,117th,Senate,2022-07-20T04:00:00Z,"Senate Finance"
"Hearings to examine the nominations of Jay Curtis Shambaugh, of Maryland, to be an Under Secretary of the Treasury, and Rebecca Lee Haffajee, of Massachusetts, to be an Assistant Secretary of Health and Human Services.",https://www.congress.gov/event/117th-congress/senate-event/332783,117th,Senate,2022-07-12T14:00:00Z,"Senate Finance"
"S.Hrg. 117-867 — NOMINATIONS OF JAY CURTIS SHAMBAUGH, TO BE UNDER SECRETARY FOR INTERNATIONAL AFFAIRS, DEPARTMENT OF THE TREASURY; AND REBECCA LEE HAFFAJEE, TO BE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION, DEPARTMENT OF HEALTH AND HUMAN SERVICES",https://www.congress.gov/event/117th-congress/senate-event/LC72786/text,117th,Senate,2022-07-12T04:00:00Z,"Senate Finance"
"Business meeting to consider an original bill entitled, ""Enhancing American Retirement Now Act"".",https://www.congress.gov/event/117th-congress/senate-event/332782,117th,Senate,2022-06-22T14:00:00Z,"Senate Finance"
"Hearings to examine supply chain resiliency, focusing on alleviating backlogs and strengthening long-term security.",https://www.congress.gov/event/117th-congress/senate-event/332579,117th,Senate,2022-06-15T19:00:00Z,"Senate Finance"
"S.Hrg. 117-622 — SUPPLY CHAIN RESILIENCY: ALLEVIATING BACKLOGS AND STRENGTHENING LONG-TERM SECURITY",https://www.congress.gov/event/117th-congress/senate-event/LC72779/text,117th,Senate,2022-06-15T04:00:00Z,"Senate Finance"
