Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"S.Hrg. 117-557 — CARING FOR OUR KIDS: SUPPORTING MENTAL HEALTH IN THE TRANSITION FROM HIGH SCHOOL TO COLLEGE",https://www.congress.gov/event/117th-congress/senate-event/333389,117th,Senate,2022-11-30T15:00:00Z,"Senate Health, Education, Labor, and Pensions"
"Business meeting to consider the nominations of Karla Ann Gilbride, of Maryland, to be General Counsel of the Equal Employment Opportunity Commission, Jessica Looman, of Minnesota, to be Administrator of the Wage and Hour Division, Department of Labor, Moshe Z. Marvit, of Pennsylvania, to be a Member of the Federal Mine Safety and Health Review Commission, and other pending calendar business.",https://www.congress.gov/event/117th-congress/senate-event/333340,117th,Senate,2022-11-29T15:30:00Z,"Senate Health, Education, Labor, and Pensions"
"S.Hrg. 117-406 — STOPPING THE SPREAD OF MONKEYPOX: EXAMINING THE FEDERAL RESPONSE",https://www.congress.gov/event/117th-congress/senate-event/333107,117th,Senate,2022-09-14T14:00:00Z,"Senate Health, Education, Labor, and Pensions"
"S.Hrg. 117-405 — NOMINATIONS OF KARLA GILBRIDE AND JESSICA LOOMAN",https://www.congress.gov/event/117th-congress/senate-event/333101,117th,Senate,2022-09-13T14:00:00Z,"Senate Health, Education, Labor, and Pensions"
"S.Hrg. 117-404 — FIGHTING FENTANYL: THE FEDERAL RESPONSE TO A GROWING CRISIS",https://www.congress.gov/event/117th-congress/senate-event/332906,117th,Senate,2022-07-26T14:00:00Z,"Senate Health, Education, Labor, and Pensions"
"S.Hrg. 117-403 — REPRODUCTIVE CARE IN A POST-ROE AMERICA: BARRIERS, CHALLENGES, AND THREATS TO WOMEN'S HEALTH",https://www.congress.gov/event/117th-congress/senate-event/332850,117th,Senate,2022-07-13T14:00:00Z,"Senate Health, Education, Labor, and Pensions"
"S.Hrg. 117-401 — SUPPORTING STUDENTS AND SCHOOLS: PROMISING PRACTICES TO GET BACK ON TRACK",https://www.congress.gov/event/117th-congress/senate-event/332761,117th,Senate,2022-06-22T14:00:00Z,"Senate Health, Education, Labor, and Pensions"
"S.Hrg. 117-400 — AN UPDATE ON THE ONGOING FEDERAL RESPONSE TO COVID-19: CURRENT STATUS AND FUTURE PLANNING",https://www.congress.gov/event/117th-congress/senate-event/332720,117th,Senate,2022-06-16T13:30:00Z,"Senate Health, Education, Labor, and Pensions"
"Business meeting to consider S.4348, to amend the Federal Food, Drug, and Cosmetic Act to revise and extend the user-fee programs for prescription drugs, medical devices, generic drugs, and biosimilar biological products, S.958, to amend the Public Health Service Act to expand the allowable use criteria for new access points grants for community health centers, S.4353, to amend the Employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 to improve retirement plan provisions, H.R.1193, to amend title IV of the Public Health Service Act to direct the Director of the National Institutes of Health, in consultation with the Director of the National Heart, Lung, and Blood Institute, to establish a program under which the Director of the National Institutes of Health shall support or conduct research on valvular heart disease, S.4052, to reauthorize a program for early detection, diagnosis, and treatment regarding deaf and hard-of-hearing newborns, infants, and young children, and other pending calendar business.",https://www.congress.gov/event/117th-congress/senate-event/332703,117th,Senate,2022-06-14T14:00:00Z,"Senate Health, Education, Labor, and Pensions"
"Business meeting to consider S.4348, to amend the Federal Food, Drug, and Cosmetic Act to revise and extend the user-fee programs for prescription drugs, medical devices, generic drugs, and biosimilar biological products, S.958, to amend the Public Health Service Act to expand the allowable use criteria for new access points grants for community health centers, and other pending calendar business.",https://www.congress.gov/event/117th-congress/senate-event/332667,117th,Senate,2022-06-08T14:00:00Z,"Senate Health, Education, Labor, and Pensions"
