chamber,roll_number,member_id,legislator_name,party,state,vote
House,1,A000374,Abraham,R,LA,Present
House,1,A000370,Adams,D,NC,Present
House,1,A000055,Aderholt,R,AL,Present
House,1,A000371,Aguilar,D,CA,Present
House,1,A000372,Allen,R,GA,Present
House,1,A000376,Allred,D,TX,Present
House,1,A000367,Amash,I,MI,Present
House,1,A000369,Amodei,R,NV,Present
House,1,A000377,Armstrong,R,ND,Present
House,1,A000375,Arrington,R,TX,Present
House,1,A000378,Axne,D,IA,Present
House,1,B001291,Babin,R,TX,Present
House,1,B001298,Bacon,R,NE,Present
House,1,B001307,Baird,R,IN,Present
House,1,B001306,Balderson,R,OH,Present
House,1,B001299,Banks,R,IN,Present
House,1,B001282,Barr,R,KY,Present
House,1,B001300,Barragán,D,CA,Present
House,1,B001270,Bass,D,CA,Present
House,1,B001281,Beatty,D,OH,Not Voting
House,1,B001287,Bera,D,CA,Present
House,1,B001301,Bergman,R,MI,Present
House,1,B001292,Beyer,D,VA,Present
House,1,B001302,Biggs,R,AZ,Present
House,1,B001257,Bilirakis,R,FL,Present
House,1,B000490,Bishop (GA),D,GA,Present
House,1,B001311,Bishop (NC),R,NC,Present
House,1,B001250,Bishop (UT),R,UT,Present
House,1,B000574,Blumenauer,D,OR,Present
House,1,B001303,Blunt Rochester,D,DE,Present
House,1,B001278,Bonamici,D,OR,Present
House,1,B001295,Bost,R,IL,Present
House,1,B001296,"Boyle, Brendan F.",D,PA,Present
House,1,B000755,Brady,R,TX,Present
House,1,B001308,Brindisi,D,NY,Present
House,1,B001274,Brooks (AL),R,AL,Present
House,1,B001284,Brooks (IN),R,IN,Present
House,1,B001304,Brown (MD),D,MD,Present
House,1,B001285,Brownley (CA),D,CA,Present
House,1,B001260,Buchanan,R,FL,Not Voting
House,1,B001297,Buck,R,CO,Present
House,1,B001275,Bucshon,R,IN,Present
House,1,B001305,Budd,R,NC,Present
House,1,B001309,Burchett,R,TN,Present
House,1,B001248,Burgess,R,TX,Present
House,1,B001286,Bustos,D,IL,Present
House,1,B001251,Butterfield,D,NC,Not Voting
House,1,B001289,Byrne,R,AL,Not Voting
House,1,C000059,Calvert,R,CA,Present
House,1,C001112,Carbajal,D,CA,Present
House,1,C001097,Cárdenas,D,CA,Present
