chamber,roll_number,member_id,legislator_name,party,state,vote
Senate,1,S289,Alexander (R-TN),R,TN,Not Voting
Senate,1,S354,Baldwin (D-WI),D,WI,Yes
Senate,1,S317,Barrasso (R-WY),R,WY,Yes
Senate,1,S330,Bennet (D-CO),D,CO,Yes
Senate,1,S341,Blumenthal (D-CT),D,CT,Yes
Senate,1,S342,Blunt (R-MO),R,MO,Yes
Senate,1,S370,Booker (D-NJ),D,NJ,No
Senate,1,S343,Boozman (R-AR),R,AR,Yes
Senate,1,S307,Brown (D-OH),D,OH,Yes
Senate,1,S300,Burr (R-NC),R,NC,Not Voting
Senate,1,S275,Cantwell (D-WA),D,WA,Yes
Senate,1,S372,Capito (R-WV),R,WV,Yes
Senate,1,S308,Cardin (D-MD),D,MD,Yes
Senate,1,S277,Carper (D-DE),D,DE,Yes
Senate,1,S309,Casey (D-PA),D,PA,Yes
Senate,1,S373,Cassidy (R-LA),R,LA,Yes
Senate,1,S136,Cochran (R-MS),R,MS,Yes
Senate,1,S252,Collins (R-ME),R,ME,Yes
Senate,1,S337,Coons (D-DE),D,DE,Yes
Senate,1,S310,Corker (R-TN),R,TN,Yes
Senate,1,S287,Cornyn (R-TX),R,TX,Yes
Senate,1,S385,Cortez Masto (D-NV),D,NV,Yes
Senate,1,S374,Cotton (R-AR),R,AR,Yes
Senate,1,S266,Crapo (R-ID),R,ID,Yes
Senate,1,S355,Cruz (R-TX),R,TX,Yes
Senate,1,S375,Daines (R-MT),R,MT,Yes
Senate,1,S356,Donnelly (D-IN),D,IN,Yes
Senate,1,S386,Duckworth (D-IL),D,IL,Yes
Senate,1,S253,Durbin (D-IL),D,IL,Yes
Senate,1,S254,Enzi (R-WY),R,WY,Yes
Senate,1,S376,Ernst (R-IA),R,IA,Yes
Senate,1,S221,Feinstein (D-CA),D,CA,Yes
Senate,1,S357,Fischer (R-NE),R,NE,Yes
Senate,1,S358,Flake (R-AZ),R,AZ,Yes
Senate,1,S377,Gardner (R-CO),R,CO,Yes
Senate,1,S331,Gillibrand (D-NY),D,NY,No
Senate,1,S293,Graham (R-SC),R,SC,Yes
Senate,1,S153,Grassley (R-IA),R,IA,Yes
Senate,1,S387,Harris (D-CA),D,CA,No
Senate,1,S388,Hassan (D-NH),D,NH,Yes
Senate,1,S118,Hatch (R-UT),R,UT,Not Voting
Senate,1,S359,Heinrich (D-NM),D,NM,Yes
Senate,1,S360,Heitkamp (D-ND),D,ND,Yes
Senate,1,S352,Heller (R-NV),R,NV,Not Voting
Senate,1,S361,Hirono (D-HI),D,HI,Yes
Senate,1,S344,Hoeven (R-ND),R,ND,Yes
Senate,1,S236,Inhofe (R-OK),R,OK,Yes
Senate,1,S305,Isakson (R-GA),R,GA,Yes
Senate,1,S345,Johnson (R-WI),R,WI,Yes
Senate,1,S393,Jones (D-AL),D,AL,Yes
Senate,1,S362,Kaine (D-VA),D,VA,Yes
Senate,1,S389,Kennedy (R-LA),R,LA,Yes
Senate,1,S363,King (I-ME),I,ME,Yes
Senate,1,S311,Klobuchar (D-MN),D,MN,Yes
Senate,1,S378,Lankford (R-OK),R,OK,Yes
Senate,1,S057,Leahy (D-VT),D,VT,Yes
Senate,1,S346,Lee (R-UT),R,UT,Yes
Senate,1,S338,Manchin (D-WV),D,WV,Yes
Senate,1,S369,Markey (D-MA),D,MA,No
Senate,1,S197,McCain (R-AZ),R,AZ,Not Voting
Senate,1,S312,McCaskill (D-MO),D,MO,Yes
Senate,1,S174,McConnell (R-KY),R,KY,Yes
Senate,1,S306,Menendez (D-NJ),D,NJ,Yes
Senate,1,S322,Merkley (D-OR),D,OR,Not Voting
Senate,1,S347,Moran (R-KS),R,KS,Not Voting
Senate,1,S288,Murkowski (R-AK),R,AK,Not Voting
Senate,1,S364,Murphy (D-CT),D,CT,Yes
Senate,1,S229,Murray (D-WA),D,WA,Yes
Senate,1,S282,Nelson (D-FL),D,FL,Yes
Senate,1,S348,Paul (R-KY),R,KY,Yes
Senate,1,S379,Perdue (R-GA),R,GA,Not Voting
Senate,1,S380,Peters (D-MI),D,MI,Yes
Senate,1,S349,Portman (R-OH),R,OH,Yes
Senate,1,S259,Reed (D-RI),D,RI,Yes
Senate,1,S323,Risch (R-ID),R,ID,Not Voting
Senate,1,S260,Roberts (R-KS),R,KS,Yes
Senate,1,S381,Rounds (R-SD),R,SD,Yes
Senate,1,S350,Rubio (R-FL),R,FL,Not Voting
Senate,1,S313,Sanders (I-VT),I,VT,No
Senate,1,S382,Sasse (R-NE),R,NE,Yes
Senate,1,S353,Schatz (D-HI),D,HI,Yes
Senate,1,S270,Schumer (D-NY),D,NY,Yes
Senate,1,S365,Scott (R-SC),R,SC,Not Voting
Senate,1,S324,Shaheen (D-NH),D,NH,Yes
Senate,1,S184,Shelby (R-AL),R,AL,Yes
Senate,1,S394,Smith (D-MN),D,MN,Yes
Senate,1,S284,Stabenow (D-MI),D,MI,Yes
Senate,1,S383,Sullivan (R-AK),R,AK,Yes
Senate,1,S314,Tester (D-MT),D,MT,Yes
Senate,1,S303,Thune (R-SD),R,SD,Yes
Senate,1,S384,Tillis (R-NC),R,NC,Yes
