chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
House,115,1,2,2,2017-01-03,,Election of the Speaker,Ryan (WI),0,0,0,0
House,115,1,1,1,2017-01-03,,Call by States,Passed,0,0,434,1
House,115,1,3,3,2017-01-03,Adopting rules for the One Hundred Fifteenth Congress,Table Motion to Refer,Passed,228,184,0,21
House,115,1,4,4,2017-01-03,Adopting rules for the One Hundred Fifteenth Congress,On Ordering the Previous Question,Passed,237,193,0,3
House,115,1,5,5,2017-01-03,Adopting rules for the One Hundred Fifteenth Congress,Motion to Commit,Failed,193,236,0,4
House,115,1,6,6,2017-01-03,Adopting rules for the One Hundred Fifteenth Congress,On Agreeing to the Resolution,Passed,234,193,0,6
House,115,1,7,7,2017-01-04,Midnight Rules Relief Act of 2017,On Motion to Recommit with Instructions,Failed,183,236,0,14
House,115,1,8,8,2017-01-04,Midnight Rules Relief Act of 2017,On Passage,Passed,238,184,0,11
House,115,1,9,9,2017-01-05,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",On Ordering the Previous Question,Passed,235,188,0,10
House,115,1,11,11,2017-01-05,"Objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",On Agreeing to the Resolution,Passed,342,80,4,7
House,115,1,10,10,2017-01-05,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",On Agreeing to the Resolution,Passed,231,187,0,15
House,115,1,12,12,2017-01-05,,On Agreeing to the Amendment,Agreed to,235,185,0,13
House,115,1,13,13,2017-01-05,,On Agreeing to the Amendment,Failed,193,230,0,10
House,115,1,14,14,2017-01-05,,On Agreeing to the Amendment,Failed,190,233,0,10
House,115,1,15,15,2017-01-05,,On Agreeing to the Amendment,Failed,186,232,0,15
House,115,1,16,16,2017-01-05,,On Agreeing to the Amendment,Failed,192,231,0,10
House,115,1,17,17,2017-01-05,,On Agreeing to the Amendment,Failed,190,234,0,9
House,115,1,18,18,2017-01-05,,On Agreeing to the Amendment,Failed,194,231,0,8
House,115,1,19,19,2017-01-05,,On Agreeing to the Amendment,Failed,190,235,0,8
House,115,1,20,20,2017-01-05,,On Agreeing to the Amendment,Failed,193,232,0,8
House,115,1,21,21,2017-01-05,,On Agreeing to the Amendment,Agreed to,230,193,0,10
House,115,1,22,22,2017-01-05,Regulations from the Executive in Need of Scrutiny Act of 2017,On Motion to Recommit with Instructions,Failed,190,235,0,8
House,115,1,23,23,2017-01-05,Regulations from the Executive in Need of Scrutiny Act of 2017,On Passage,Passed,237,187,0,9
House,115,1,24,24,2017-01-09,Improving Access to Maternity Care Act,On Motion to Suspend the Rules and Pass,Passed,405,0,0,28
House,115,1,25,25,2017-01-09,Protecting Patient Access to Emergency Medications Act of 2017,On Motion to Suspend the Rules and Pass,Passed,404,0,0,29
House,115,1,26,26,2017-01-10,Providing for consideration of the bill (H.R. 5) Regulatory Accountability Act of 2017 and providing for consideration of the bill (H.R. 79) to clarify the definition of general solicitation under Federal securities law,On Ordering the Previous Question,Passed,234,179,0,21
House,115,1,27,27,2017-01-10,Providing for consideration of the bill (H.R. 5) Regulatory Accountability Act of 2017 and providing for consideration of the bill (H.R. 79) to clarify the definition of general solicitation under Federal securities law,On Agreeing to the Resolution,Passed,233,183,0,18
House,115,1,28,28,2017-01-10,,On Approving the Journal,Passed,248,162,3,21
House,115,1,29,29,2017-01-10,,On Agreeing to the Amendment,Failed,167,249,0,18
House,115,1,30,30,2017-01-10,,On Agreeing to the Amendment,Failed,163,253,0,18
House,115,1,31,31,2017-01-10,Helping Angels Lead Our Startups (HALOS) Act,On Passage,Passed,344,73,0,17
House,115,1,32,32,2017-01-11,"Providing for consideration of H.R. 78, the SEC Regulatory Accountability Act; H.R. 238, the Commodity End-User Relief Act; and for other purposes",On Ordering the Previous Question,Passed,232,168,0,34
House,115,1,33,33,2017-01-11,"Providing for consideration of H.R. 78, the SEC Regulatory Accountability Act; H.R. 238, the Commodity End-User Relief Act; and for other purposes",On Agreeing to the Resolution,Passed,233,170,0,31
House,115,1,34,34,2017-01-11,Tested Ability to Leverage Exceptional National Talent Act,On Motion to Suspend the Rules and Pass,Passed,386,17,0,31
House,115,1,35,35,2017-01-11,,On Agreeing to the Amendment,Agreed to,237,185,0,12
House,115,1,36,36,2017-01-11,,On Agreeing to the Amendment,Agreed to,260,161,0,13
House,115,1,37,37,2017-01-11,,On Agreeing to the Amendment,Failed,189,231,0,14
House,115,1,39,39,2017-01-11,,On Agreeing to the Amendment,Failed,188,234,0,12
House,115,1,38,38,2017-01-11,,On Agreeing to the Amendment,Failed,190,232,0,12
House,115,1,40,40,2017-01-11,,On Agreeing to the Amendment,Failed,190,233,0,11
House,115,1,41,41,2017-01-11,,On Agreeing to the Amendment,Failed,195,227,0,12
House,115,1,42,42,2017-01-11,,On Agreeing to the Amendment,Failed,188,235,0,11
House,115,1,43,43,2017-01-11,,On Agreeing to the Amendment,Failed,185,236,0,13
House,115,1,44,44,2017-01-11,Regulatory Accountability Act of 2017,On Motion to Recommit with Instructions,Failed,190,233,0,11
House,115,1,45,45,2017-01-11,Regulatory Accountability Act of 2017,On Passage,Passed,238,183,0,13
House,115,1,46,46,2017-01-12,,On Agreeing to the Amendment,Failed,192,233,0,9
House,115,1,47,47,2017-01-12,,On Agreeing to the Amendment,Failed,191,232,0,11
House,115,1,48,48,2017-01-12,,On Agreeing to the Amendment,Failed,194,233,0,7
House,115,1,49,49,2017-01-12,,On Agreeing to the Amendment,Failed,196,231,0,7
House,115,1,50,50,2017-01-12,SEC Regulatory Accountability Act,On Motion to Recommit with Instructions,Failed,195,232,0,7
House,115,1,51,51,2017-01-12,SEC Regulatory Accountability Act,On Passage,Passed,243,184,0,7
House,115,1,52,52,2017-01-12,,On Agreeing to the Amendment,Agreed to,236,191,0,7
House,115,1,53,53,2017-01-12,Commodity End-User Relief Act,On Motion to Recommit with Instructions,Failed,190,235,0,9
House,115,1,54,54,2017-01-12,Commodity End-User Relief Act,On Passage,Passed,239,182,0,13
House,115,1,55,55,2017-01-13,"Providing for consideration of S.Con.Res 3, setting forth the congressional budget for the United States Government for fiscal year 2017 and for other purposes; and S. 84, to provide for an exception to a limitation against appointment of persons as Secretary of Defense within 7 years of relief from active duty",On Ordering the Previous Question,Passed,234,179,0,21
House,115,1,56,56,2017-01-13,"Providing for consideration of S.Con.Res 3, setting forth the congressional budget for the United States Government for fiscal year 2017 and for other purposes; and S. 84, to provide for an exception to a limitation against appointment of persons as Secretary of Defense within 7 years of relief from active duty",On Agreeing to the Resolution,Passed,235,188,0,11
House,115,1,57,57,2017-01-13,,On Agreeing to the Amendment,Failed,149,272,0,13
House,115,1,58,58,2017-01-13,Setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026,On Agreeing to the Resolution,Passed,227,198,0,10
House,115,1,59,59,2017-01-13,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces,On Passage,Passed,268,151,1,14
House,115,1,60,60,2017-01-23,Anti-Spoofing Act,On Motion to Suspend the Rules and Pass,Passed,398,5,0,31
House,115,1,61,61,2017-01-23,Kari’s Law Act,On Motion to Suspend the Rules and Pass,Passed,408,0,0,26
House,115,1,62,62,2017-01-24,Providing for consideration of the bill (H.R. 7) to prohibit taxpayer funded abortions,On Ordering the Previous Question,Passed,233,187,0,12
House,115,1,63,63,2017-01-24,Providing for consideration of the bill (H.R. 7) to prohibit taxpayer funded abortions,On Agreeing to the Resolution,Passed,236,183,0,13
