chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
House,117,2,1,1,2022-01-10,,Call of the House,Passed,0,0,404,29
House,117,2,2,2,2022-01-11,Providing for consideration of the bill (H.R. 1836) Guard and Reserve GI Bill Parity Act; providing for consideration of the bill (H.R. 4673) Ensuring Veteransâ Smooth Transition Act; and for other purposes,On Ordering the Previous Question,Passed,219,203,0,10
House,117,2,3,3,2022-01-11,Providing for consideration of the bill (H.R. 1836) Guard and Reserve GI Bill Parity Act; providing for consideration of the bill (H.R. 4673) Ensuring Veteransâ Smooth Transition Act; and for other purposes,On Agreeing to the Resolution,Passed,219,203,0,10
House,117,2,4,4,2022-01-12,,On Agreeing to the Amendment,Failed,198,225,0,9
House,117,2,5,5,2022-01-12,Guard and Reserve GI Bill Parity Act,On Motion to Recommit,Failed,204,219,0,9
House,117,2,6,6,2022-01-12,Guard and Reserve GI Bill Parity Act,On Passage,Passed,287,135,0,10
House,117,2,7,7,2022-01-12,"Providing for consideration of the Senate amendment to the bill (H.R. 5746) to amend title 51, United States Code, to extend the authority of the National Aeronautics and Space Administration to enter into leases of non-excess property of the Adminstration",On Ordering the Previous Question,Passed,220,201,0,12
House,117,2,8,8,2022-01-12,"Providing for consideration of the Senate amendment to the bill (H.R. 5746) to amend title 51, United States Code, to extend the authority of the National Aeronautics and Space Administration to enter into leases of non-excess property of the Adminstration",On Agreeing to the Resolution,Passed,220,202,0,11
House,117,2,9,9,2022-01-13,NASA Enhanced Use Leasing Extension Act of 2021,On Motion to Concur in the Senate Amendment With An Amendment,Passed,220,203,0,10
House,117,2,10,10,2022-01-18,Supplemental Impact Aid Flexibility Act,On Motion to Suspend the Rules and Pass,Passed,414,6,0,13
House,117,2,11,11,2022-01-19,Willie OâRee Congressional Gold Medal Act,On Motion to Suspend the Rules and Pass,Passed,426,0,0,7
House,117,2,12,12,2022-01-20,,On Agreeing to the Amendment,Agreed to,228,198,0,7
House,117,2,13,13,2022-01-20,EVEST Act,On Motion to Recommit,Failed,206,221,0,6
House,117,2,14,14,2022-01-20,EVEST Act,On Passage,Passed,265,163,0,5
House,117,2,15,15,2022-02-01,"To designate the facility of the United States Postal Service located at 3900 Crown Road Southwest in Atlanta, Georgia, as the âJohn R. Lewis Post Office Buildingâ",On Motion to Suspend the Rules and Pass,Passed,421,0,1,12
