chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
Senate,117,1,1,1,2021-01-06,"Shall the Objection Submitted by the Gentleman from Arizona, Mr. Gosar, and the Senator from Texas, Mr. Cruz, and Others Be Sustained?","On the Objection (Shall the Objection Submitted by the Gentleman from Arizona, Mr. Gosar, and the Senator from Texas, Mr. Cruz, and Others Be Sustained?)",Objection Not Sustained,6,93,0,0
Senate,117,1,3,3,2021-01-20,"Confirmation: Avril Danica Haines, of New York, to be Director of National Intelligence",On the Nomination PN78-10,Nomination Confirmed,84,10,0,6
Senate,117,1,2,2,2021-01-07,"Shall the Objection Submitted by the Gentleman from Pennsylvania, Mr. Perry, and the Senator from Missouri, Mr. Hawley, Be Sustained?","On the Objection (Shall the Objection Submitted by the Gentleman from Pennsylvania, Mr. Perry, and the Senator from Missouri, Mr. Hawley, Be Sustained?)",Objection Not Sustained,7,92,0,0
Senate,117,1,4,4,2021-01-21,"H.R. 335",On Passage of the Bill H.R. 335,Bill Passed,69,27,0,4
Senate,117,1,5,5,2021-01-22,"Confirmation: Lloyd James Austin, of Georgia, to be Secretary of Defense",On the Nomination PN78-1,Nomination Confirmed,93,2,0,5
Senate,117,1,6,6,2021-01-25,"Confirmation: Janet Louise Yellen, of California, to be Secretary of the Treasury",On the Nomination PN78-24,Nomination Confirmed,84,15,0,1
Senate,117,1,7,7,2021-01-26,"Confirmation: Antony John Blinken, of New York, to be Secretary of State",On the Nomination PN78-3,Nomination Confirmed,78,22,0,0
Senate,117,1,8,8,2021-01-26,Motion to Table: Is the Point of Order Well Taken?,On the Motion to Table (Motion to Table: Is the Point of Order Well Taken?),Motion to Table Agreed to,55,45,0,0
Senate,117,1,9,9,2021-01-26,S. Res. 16,On the Resolution S.Res. 16,Resolution Agreed to,83,17,0,0
Senate,117,1,10,10,2021-01-28,Motion to Invoke Cloture: Alejandro Nicholas Mayorkas to be Secretary of the Department of Homeland Security,On the Cloture Motion PN78-13,Cloture Motion Agreed to,55,42,0,3
Senate,117,1,12,12,2021-02-02,"Confirmation: Alejandro Nicholas Mayorkas, of the District of Columbia, to be Secretary of Homeland Security",On the Nomination PN78-13,Nomination Confirmed,56,43,0,1
